title,yearReleased,runtimeinmins,genre,rating
Bakwit Boys,2018,105,"Drama, Musical            ",7.8
Bala at rosaryo,1990,118,Action            ,3.9
Balangiga: Howling Wilderness,2017,120,Drama            ,7.4
Balatkayo,2017,90,Drama            ,9.3
Balat-sibuyas,2003,100,Drama            ,6.3
Baler,2008,116,"Drama, Romance, War            ",6.8
Balikbayan #1: Memories of Overdevelopment Redux III,2015,140,Drama            ,7.3
Baliktaran: Si Ace at si Daisy,2001,115,"Comedy, Romance            ",5.5
Balut Country,2015,90,Drama            ,6.6
"Balweg, the Rebel Priest",1986,122,"Action, Drama, War            ",1.8
Bambanti,2015,90,Drama            ,8.1
Bamboo Dogs,2018,81,"Crime, Drama, Thriller            ",5.4
Bamboo Flowers,2013,130,Drama            ,7.4
Bamboo Gods and Iron Men,1974,96,"Action, Adventure, Drama            ",4.8
Banal,2008,110,"Action, Drama            ",6.9
Banal,2019,100,Horror            ,4.5
Banaue: Stairway to the Sky,1975,154,"Drama, Romance            ",8.4
Bang Bang Alley,2014,117,"Crime, Drama            ",1.9
Banyo Queen,2001,115,"Comedy, Horror            ",7.3
Bar Boys,2017,110,Drama            ,7.7
Barbara Reimagined,2019,65,Horror            ,3.6
Barbi: D' Wonder Beki,2017,105,Comedy            ,6.3
Barcelona: A Love Untold,2016,132,"Drama, Romance            ",6.6
Barumbado,1990,90,Action            ,8.5
Basagan ng mukha,2001,90,Action            ,5.6
Basement,2014,90,"Drama, Horror            ",5.2
Bastardo,1997,105,Action            ,6.8
Basta't kasama kita,1995,90,"Comedy, Romance            ",8.0
Bata bata paano ka ginawa?,1998,109,Drama            ,6.8
Batad: Sa paang palay,2006,90,Drama            ,7.6
Batanes,2007,100,"Drama, Romance            ",7.4
Batang PX,1997,113,Drama            ,7.9
Batang Quiapo,1986,120,"Action, Comedy            ",5.9
Batang West Side,2001,315,"Crime, Drama            ",7.7
Batas ko ay bala,1996,101,Action            ,7.3
Batas ng .45,1991,121,"Action, Drama            ",5.8
Batas ng lansangan,2002,102,"Action, Crime, Drama            ",6.9
Batch '81,1982,100,Drama            ,7.3
Bathhouse,2005,107,Drama            ,4.5
Bato: The Gen. Ronald Dela Rosa Story,2019,90,"Action, Biography            ",2.3
Battle Rats,1989,96,"Action, Adventure, War            ",5.2
Batwoman and Robin,1972,90,"Action, Fantasy            ",5.4
Bayan ko: Kapit sa patalim,1984,108,"Action, Crime, Drama            ",7.2
Bayang magiliw,2013,90,Drama            ,8.4
Bayaning 3rd World,2000,93,Drama            ,6.9
Bayaw,2009,81,"Drama, Mystery, Thriller            ",5.7
Bcuz of U,2004,115,Romance            ,7.1
Beast of Blood,1970,90,"Adventure, Horror            ",4.9
Beautiful Life,2004,110,Drama            ,7.1
Beauty and the Bestie,2015,119,"Action, Comedy, Drama            ",4.6
Beauty in a Bottle,2014,101,"Comedy, Romance            ",6.5
Because I Love You,2019,101,Romance            ,9.2
